question,answer
"What are area-specific housekeeping rules?","• **Lobbies:** No garbage or personal items.
 • **Lifts:** Disinfect thrice daily; service lift for HK use only.
 • **Parking:** Clean twice monthly; report oil leaks.
 • **Clubhouse/Gym:** Wipe equipment and sanitize benches.
 • **Garden:** Clear pet waste daily.
 • **Restrooms:** Keep odor-free and leak-free."
"What are the key Do’s for housekeeping operations?","✅ Do’s:
 • Use approved cleaning materials.
 • Wear PPE during cleaning.
 • Report breakages or leaks.
 • Keep equipment organized.
 • Maintain cleaning logs.
 • Follow waste segregation.
 • Attend training sessions."
"What are the important Don’ts for housekeeping staff?","🚫 Don’ts:
 • Don’t skip tasks or falsify records.
 • Don’t mix waste types.
 • Don’t use resident restrooms.
 • Don’t use phones during work.
 • Don’t use excess acid or bleach.
 • Don’t argue with residents."
"How is housekeeping performance monitored?","Facility Manager inspects areas twice a week, and a monthly audit checklist is maintained by the Supervisor and FM. Quarterly reviews are conducted by the TAAOWA Board."
"What records are maintained for housekeeping operations?","Records include cleaning logs, attendance, chemical inventory, waste disposal logs, pest control reports, and equipment registers. Maintained for at least 1 year."
"Who is accountable for housekeeping management?","• Housekeeping Staff – Daily cleaning execution.
 • Housekeeping Supervisor – Quality control.
 • Facility Manager – Oversight and vendor coordination.
 • Secretary – Policy review.
 • President/Board – Audits and escalations."
"What is the purpose of the Lift Safety SOP?","This SOP ensures safe, reliable, and compliant operation of all lifts in The ACE Apartments, minimizing risks of malfunction, accidents, or panic during emergencies."
"Who does this SOP apply to?","It applies to all residents, visitors, UPS Facility Management staff, lift maintenance vendors, and security personnel involved in lift operation and response."
"What are the key objectives of the SOP?","• Maintain lifts in working condition through preventive maintenance.
 • Ensure quick emergency response for lift entrapments.
 • Define roles and responsibilities for all stakeholders.
 • Comply with safety audits and government inspection rules."
"Who is responsible for lift operations and maintenance?","• Facility Manager – Oversees lift operations, inspection scheduling, and vendor coordination.
 • Lift Vendor – Conducts preventive maintenance and breakdown response.
 • Security Team – Acts as first responders.
 • Residents – Follow safety guidelines and report faults.
 • Secretary/President – Approve compliance and review reports."
"How often are lifts inspected and serviced?","• Weekly – Routine maintenance, lubrication, and door checks.
 • Monthly – Brake, cable, and controller inspection.
 • Quarterly – Safety gear and ARD (Automatic Rescue Device) testing.
 • Annually – Safety certification renewal and government inspection."
"What are key lift safety guidelines for residents?","✅ Always check lift is level before entry.
 ✅ Avoid overloading or pressing multiple buttons.
 ✅ Don’t use lifts during heavy rain, power fluctuations, or fire.
 ✅ Accompany children and report abnormal noise or vibration."
"What daily checks do security and facility staff perform?","Security verifies intercom and alarm function, ensures cleanliness of lift lobby, confirms operation signage during maintenance, and locks access panels securely."
"What should I do if I get stuck inside the lift?","1️⃣ Stay calm and press the emergency intercom.
 2️⃣ Security confirms the lift number and informs Facility Manager and Vendor.
 3️⃣ Do not force the doors open.
 4️⃣ Wait for the technician; the ARD system will bring the lift to the nearest floor if power failed.
 5️⃣ If unwell, Security will call Ambulance (108)."
"Who should be contacted first in case of lift entrapment?","Immediately inform the Security Guard at your tower or use the emergency intercom in the lift. The guard will escalate to the Facility Manager and Vendor within minutes."
"How quickly should a rescue team respond?","Lift technicians are required to reach within 30 minutes of notification. Security and FM must update the Secretary/President within 15 minutes after the rescue is completed."
"What happens during power failure when someone is inside the lift?","The Automatic Rescue Device (ARD) brings the lift to the nearest floor and opens the doors within 60 seconds. If it fails, the Electrical Technician and Vendor are called immediately for manual release."
"What should be done during fire or flood emergencies?","Never use lifts. Security disables all lifts using the Fireman Switch, and power is isolated by the Electrical Technician. Residents must evacuate using staircases."
"What documentation is required after a lift incident?","The Facility Manager must record incident time, cause, persons involved, and resolution details. A formal report must be filed within 24 hours for review."
"What regular safety requirements must be maintained?","• Functional intercom and alarm buttons.
 • Display of emergency instructions in all lift cars.
 • Quarterly evacuation drills.
 • Up-to-date Lift License and AMC certificates.
 • Vendor logbook signed after each service."
"What are the main Do’s and Don’ts for lift usage?","✅ Do’s: Keep within capacity limits, test intercom monthly, report malfunctions.
 🚫 Don’ts: Don’t use lifts during fire/flood, force doors, or let children ride alone."
"What safety signage must be displayed in lift lobbies?","Each lobby must display emergency contacts, ‘Do’s & Don’ts’, and fire evacuation instructions. Security checks and replaces damaged signage monthly."
"What records are maintained for lift safety?","Records include maintenance registers, emergency incident logs, AMC reports, inspection certificates, ARD test logs, and complaint tracker—kept for 2 years minimum."
"How are lift safety audits conducted?","• Monthly – Vendor performance review by FM.
 • Quarterly – Safety audit with Secretary.
 • Annually – Government inspection and certification. Audit summary submitted to the Board."
"Who is accountable for lift safety and compliance?","• Security Guards – Initial communication & response.
 • Facility Manager – Maintenance and rescue coordination.
 • Vendor Technician – Repairs and AMC compliance.
 • Secretary – Documentation and oversight.
 • President/Board – Vendor and audit approvals."
"What is the purpose of the Maintenance & Daily Operations SOP?","This SOP ensures consistent, safe, and efficient day-to-day functioning of The ACE Apartments by defining maintenance procedures, staff responsibilities, and operational discipline in line with TAAOWA Bye-laws."
"Who does this SOP apply to?","It applies to UPS Facility Management teams (housekeeping, electrical, plumbing, landscaping), all vendors and contractors, and Association representatives overseeing maintenance operations."
"What are the key responsibilities of the Facility Management team?","• Ensure smooth operation and upkeep of all facilities.
 • Follow preventive maintenance schedules.
 • Maintain attendance and equipment logbooks.
 • Keep common areas clean and functional.
 • Report breakdowns or safety issues promptly."
"What are the duties of the Facility Manager?","• Supervise all daily operations and manpower allocation.
 • Approve and verify checklists, logs, and vendor reports.
 • Monitor cleanliness, safety, and performance.
 • Coordinate with Secretary for escalations and asset management."
"What are vendors and contractors expected to follow?","• Obtain entry authorization before work.
 • Follow safety and PPE standards.
 • Submit job completion reports.
 • Get completion confirmation before leaving site."
"What are the daily maintenance tasks performed in the community?","• Cleaning and mopping of common areas.
 • Garbage collection and disposal before 10 AM.
 • STP/WTP operations and checks.
 • Inspection of lifts, pumps, and DG sets.
 • Garden and landscape upkeep.
 • Lighting inspections and replacements.
 • Fire safety audits and equipment checks."
"How are maintenance tickets handled?","All resident maintenance requests are raised and tracked via the MyGate Helpdesk. The UPS FM team resolves them within defined timelines, with OTP validation for closure."
"What kind of reports and documentation are maintained?","• Daily checklists and equipment logbooks.
 • Complaint and closure records.
 • Weekly summaries to the Association.
 • Inventory registers for consumables.
 • Safety hazard or incident reports."
"What are the key safety protocols for maintenance staff?","• Use PPE for all maintenance work.
 • Lock sump, STP, and electrical rooms when unsupervised.
 • Restrict unauthorized access to utility areas.
 • Inspect extinguishers and exits monthly.
 • Store hazardous chemicals safely and in labeled containers."
"What are the Do’s for facility staff?","✅ Do’s:
 • Wear uniforms and ID cards.
 • Be punctual and sign attendance.
 • Follow FM/Association instructions.
 • Report leaks or malfunctions immediately.
 • Keep utility areas organized.
 • Conserve energy and attend safety drills."
"What are the Don’ts for staff during daily operations?","🚫 Don’ts:
 • Don’t leave duty posts without approval.
 • Don’t accept personal work or tips from residents.
 • Don’t smoke or consume alcohol.
 • Don’t use society property for personal use.
 • Don’t tamper with safety or CCTV equipment.
 • Don’t enter flats without authorization."
"How are operational issues escalated?","• Daily Maintenance – Supervisor → FM → Secretary
 • Electrical/Plumbing Faults – Technician → FM → Secretary/President
 • Safety or Emergency – FM → Secretary → Board
 • Staff Misconduct – FM → Secretary → President"
"How is performance and maintenance monitored?","• Facility Manager conducts daily rounds.
 • Secretary conducts weekly inspections.
 • Board holds quarterly reviews on vendor and staff performance.
 • Corrective actions and penalties recorded in reports."
"How often is this SOP reviewed or updated?","It is reviewed annually or when statutory or operational changes occur. Updates require approval from the TAAOWA Board and are circulated through the Association Office."
"Who is accountable for maintenance and daily operations?","• Facility Staff – Daily execution.
 • Facility Manager – Oversight & reporting.
 • Vendors – AMC compliance.
 • Secretary – Escalation oversight.
 • President/Board – Final approval & review."
"What is the purpose of the Meetings & Governance SOP?","This SOP defines the structure, frequency, and procedures for conducting TAAOWA meetings such as General Body Meetings (GBM), Annual General Meetings (AGM), Special General Meetings (SGM), and Board of Managers (BoM) meetings to ensure transparency and compliance with legal requirements."
"What are the different types of meetings in TAAOWA and their frequency?","• **Board of Managers (BoM)** – Monthly or as needed for operational and financial reviews.
 • **Annual General Meeting (AGM)** – Once every financial year to review accounts, approve budgets, and elect the Board.
 • **Special General Meeting (SGM)** – As required for special resolutions or member requests (¼ of members can call it).
 • **Extraordinary Meeting** – For urgent or emergency decisions."
"What is the notice period for different types of meetings?","• AGM/SGM – 21 days’ notice via email, MyGate, and notice boards.
 • BoM – 7 days for regular meetings; 24 hours for emergencies.
 • Adjourned meetings – No fresh notice needed; same agenda continues."
"What are the quorum requirements for meetings?","• AGM/GBM – 1/3 of total members; if not met, adjourn for 7 days and reconvene without quorum.
 • SGM – 2/3 of total members; if not met, reconvene with same agenda.
 • BoM – 1/3 of Board Members; reconvened decisions to be ratified."
"Who are the key office bearers and their roles?","• **President** – Chairs meetings, ensures decorum, signs minutes, and has a casting vote.
 • **Vice President** – Acts in the President’s absence and assists with coordination.
 • **Secretary** – Prepares and circulates agendas, minutes, and follow-ups.
 • **Joint Secretary** – Supports documentation and digital record-keeping.
 • **Treasurer** – Presents accounts and budgets.
 • **Board Members** – Participate actively and avoid conflicts of interest."
"What is the standard meeting procedure?","1️⃣ Attendance and quorum check by Secretary.
 2️⃣ Reading and approval of previous minutes.
 3️⃣ Presentation of reports (operations, finance, committees).
 4️⃣ Discussion of agenda items moderated by President.
 5️⃣ Voting by show of hands, ballot, or e-voting.
 6️⃣ Resolution recording and assignment of action points.
 7️⃣ Closing summary by President."
"How are minutes of meetings managed?","• Secretary records and circulates minutes within 7 days.
 • Attendance register signed during meeting.
 • Resolution register updated after each meeting.
 • Minutes uploaded to MyGate within 10 days."
"What are the voting rules?","• One flat = one vote (based on Undivided Interest).
 • Proxy voting allowed with written consent.
 • E-voting through verified platforms.
 • Members with maintenance dues >90 days cannot vote or contest."
"What are the different types of resolutions?","• **Ordinary Resolution** – Simple majority; routine approvals.
 • **Special Resolution** – 2/3 majority; major capital or financial decisions.
 • **Extraordinary Resolution** – 2/3 of total members; bye-law amendments or redevelopment."
"How is digital governance handled?","• Notices, voting, and minutes are managed through MyGate or ERP systems.
 • Hybrid meetings must be recorded and archived securely.
 • All records are backed up digitally for 5 years."
"What transparency measures are followed?","• Meeting summaries are posted on MyGate and notice boards within 10 days.
 • Financial highlights (not full ledgers) shared quarterly.
 • Resident feedback reviewed in the next GBM."
"What compliance measures must be met after meetings?","• All finance-related resolutions signed by President, Secretary, and Treasurer.
 • AGM must include statutory audit review.
 • Delay beyond 6 months must be reported to Registrar."
"How are disputes in meetings handled?","• Procedural disputes decided by the Board.
 • Unresolved matters taken to General Body vote.
 • Personal conduct issues handled confidentially by President & Secretary."
"How are SOP reviews and amendments done?","Reviewed annually or as per law changes; amendments approved by the Board and ratified by the General Body."
"What are the confidentiality rules?","Meeting records and discussions are confidential and cannot be shared or copied without Board authorization."
"What are the key Do’s and Don’ts for members during meetings?","✅ Do’s:
 • Be punctual and sign attendance.
 • Review agenda in advance.
 • Speak respectfully and stay on topic.
 • Follow voting and decorum protocols.
 • Keep communications official and confidential.
 🚫 Don’ts:
 • Don’t interrupt or argue.
 • Don’t raise off-agenda topics without Chair’s consent.
 • Don’t share resolutions on social media.
 • Don’t use defamatory or disrespectful language.
 • Don’t influence voting or misuse authority."
"Who is accountable for ensuring governance compliance?","• Secretary – Meeting coordination and documentation.
 • President – Oversight and leadership.
 • Treasurer – Financial compliance.
 • Board – Decision approval and recordkeeping.
 • Members – Responsible participation."
"What is the purpose of this SOP?","This SOP defines the rights, responsibilities, and behavioral standards expected from all apartment owners, tenants, and residents to promote a safe, respectful, and well-managed community environment within The ACE Apartments."
"Who does this SOP apply to?","It applies to all registered owners (members of TAAOWA), tenants, family members, guests, visitors, domestic staff, and agents residing or operating within the premises. Owners remain legally responsible for actions of their tenants and household staff."
"Who qualifies as a member of the Association?","Each flat owner automatically becomes a TAAOWA member upon registration of the sale deed and submission of a membership form with a one-time admission fee of ₹1,000. Tenants are not members but may represent the owner in maintenance matters with written authorization."
"What are the responsibilities of apartment owners?","Owners must:
 • Maintain internal fittings and plumbing.
 • Repair damages caused to adjoining flats or common areas.
 • Obtain written approval for any internal modification or renovation.
 • Ensure family, tenants, and visitors comply with community rules.
 • Clear dues before tenant vacates.
 • Use the flat only for residential purposes.
 • Follow waste segregation and environmental norms."
"What are the responsibilities of tenants?","Tenants must submit registration forms, valid ID proofs, police verification acknowledgment, and a copy of the rental agreement. They must:
 • Comply with all Association rules.
 • Avoid commercial use or subletting.
 • Maintain hygiene and follow noise restrictions.
 • Cooperate during maintenance or safety checks.
 • Respect community decorum."
"What are the rules for use of common areas and facilities?","• Do not use corridors, staircases, or rooftops for storage or personal use.
 • No encroachment, furniture, or signage in common areas.
 • Facilities like gym, pool, or park must be used only for intended purposes.
 • No advertisements or banners without approval.
 • Maintain silence after 10 PM.
 • Smoking, littering, or alcohol use in public areas is prohibited.
 • Visitors must register at security and park only in designated areas."
"What is the process for transfer of ownership?","Owners must notify the Association immediately upon sale/transfer and submit:
 • Copy of registered sale deed
 • Buyer’s contact details
 • Clearance of dues
 • No Dues Certificate
 The new owner gains member rights after formal registration with the Association."
"What behavioral expectations must all residents follow?","All residents must:
 • Treat neighbors, staff, and vendors respectfully.
 • Avoid harassment, discrimination, or abusive behavior.
 • Conduct social events responsibly with prior approval.
 • Maintain cleanliness and adhere to noise and decorum norms.
 • Resolve disputes amicably or through written complaints."
"What are the safety and security obligations?","Residents must:
 • Ensure guests and delivery agents comply with entry procedures.
 • Keep fire exits and driveways unobstructed.
 • Avoid unauthorized photography or access to restricted areas.
 • Never tamper with CCTV or security devices."
"What penalties apply for violations of the rules?","Depending on severity, violations result in:
 1️⃣ Warning Notice (First Instance)
 2️⃣ Monetary Penalty (Second Instance)
 3️⃣ Suspension of Facility Access (Repeated Violations)
 4️⃣ Legal Action (Serious Breaches)."
"What are the key Do’s for members, owners, and tenants?","✅ Do’s:
 • Keep personal and tenant details updated.
 • Pay dues on time.
 • Maintain hygiene and waste segregation.
 • Obtain written permission for any modification.
 • Register all staff with Association security.
 • Ensure tenant police verification before move-in.
 • Follow safety and fire guidelines."
"What are the key Don’ts for members, owners, and tenants?","🚫 Don’ts:
 • Don’t run commercial businesses in residential units.
 • Don’t alter structure or exteriors.
 • Don’t obstruct corridors or misuse facilities.
 • Don’t delay payments or engage in disputes.
 • Don’t smoke, litter, or play loud music after 10 PM.
 • Don’t host terrace or corridor parties.
 • Don’t sublet without permission."
"Who is accountable for tenant behavior and damages?","Owners are fully responsible for any damages or rule violations caused by their tenants, family, or staff. Persistent violations may lead to fines, suspension of privileges, or legal action under the Tamil Nadu Apartment Ownership Act, 2022."
"What is the purpose of this SOP?","The SOP ensures safe, accountable, and disturbance-free movement of labourers, contractors, and vendors carrying out plumbing, electrical, or interior work inside The ACE Apartments while protecting Association property and maintaining resident convenience."
"Who does this SOP apply to?","It applies to all residents, tenants, and owners undertaking internal work; all labourers, technicians, plumbers, and electricians employed for such work; and the UPS Facility Management and security team monitoring their movement."
"What are the permitted working hours for labourers?","Work is allowed only between **9:00 AM and 6:00 PM** from Monday to Saturday. Work on Sundays or public holidays requires prior written approval from the Secretary. No work is allowed during quiet hours or Association events."
"How can I register labourers entering for work?","Residents must fill the **Interior Work / Plumbing Work Intimation Form** at the security gate or via MyGate. The form must include work details, labourer information, duration, and materials. Approval is required from the UPS Facility Manager or Association Office before work starts."
"What is the entry process at the gate for labourers?","• Labourers must register with original ID proof (Aadhaar, DL, etc.).
 • Security issues a Visitor Pass with photo and flat number.
 • All tools and materials are checked and logged.
 • Hazardous items (e.g., thinner, gas) are not allowed without permission.
 • Labourers must wear uniforms and use service lifts only."
"What happens during exit of labourers?","Security verifies all tools and materials before exit, collects visitor passes, and records completion in the log. Any unaccounted item or suspicious movement is escalated immediately to the Facility Manager."
"What types of interior or repair work are allowed?","Permitted works include internal electrical wiring, plumbing repairs, painting, furniture and ceiling work, modular installation, or internet and appliance setup."
"What activities are restricted without approval?","The following require **written approval** from the Association:
 • Structural modification of walls/beams
 • RCC core cutting or waterproofing
 • Balcony grill or façade modification
 • Drainage line alteration
 • High-decibel or dust-producing work."
"What safety measures must be followed by labourers?","Labourers must:
 • Wear helmets, gloves, and safety shoes.
 • Use only designated routes and service lifts.
 • Avoid tapping water or electricity from common sources.
 • Clean debris daily and dispose it outside the premises.
 • Avoid blocking common corridors or exits."
"Who supervises and monitors interior work?","The **resident** is responsible for supervising the work inside their flat. The **UPS Facility Manager** and security team conduct random checks to ensure compliance and safety. The Association is not liable for damages or accidents within flats."
"What happens if a violation occurs?","Violations are subject to penalties such as:
 • Unregistered entry – Access denied or ₹500 fine
 • Work beyond permitted hours – ₹1,000 fine
 • Common area damage – Repair cost + penalty
 • Waste left on site – ₹500 fine
 • Unauthorized modification – Work stoppage + review
 • Unsafe materials – Contractor blacklisting."
"What should be done in case of an emergency or accident?","Immediately contact:
 • UPS Facility Manager – 📞 89259 14910
 • Security Helpdesk (24×7) – 📞 89259 14906
 Accidents, electrical hazards, or injuries must be reported without delay."
"What are the key Do’s for residents and labourers?","✅ Do’s:
 • Register all workers and materials.
 • Work only during permitted hours.
 • Wear IDs/uniforms.
 • Maintain site cleanliness.
 • Dispose debris daily.
 • Use service lifts.
 • Follow safety and security instructions."
"What are the key Don’ts for labour movement?","🚫 Don’ts:
 • Don’t enter without authorization.
 • Don’t block corridors or use domestic lifts.
 • Don’t smoke, play music, or create disturbance.
 • Don’t use common water/power.
 • Don’t store flammable materials.
 • Don’t photograph or record inside premises.
 • Don’t stay beyond work hours."
"Who is responsible for monitoring and enforcement?","• **Resident/Owner** – Submit authorization and supervise work.
 • **Security Team** – Check IDs, register entry/exit.
 • **UPS Facility Manager** – Inspect sites, ensure compliance.
 • **Secretary** – Approve major works.
 • **President/Board** – Handle escalations and repeat offences."
"What is the purpose of this SOP?","This SOP ensures effective night-time surveillance and security within The ACE Apartments between 8:00 PM and 6:00 AM. It defines procedures for patrols, CCTV checks, access control, and emergency response to prevent unauthorized access, theft, or safety hazards."
"Who does this SOP apply to?","It applies to all night security staff (guards and supervisors), UPS Facility Manager, duty officers, and the Association office involved in security reporting and emergency escalation. It also applies to residents in case of emergency alerts or security cooperation."
"What are the main objectives of the Night Security SOP?","• Maintain continuous vigilance through patrols and CCTV monitoring.
 • Ensure access control and lighting systems are functional.
 • Establish clear incident escalation and reporting protocols.
 • Maintain logs for audit and accountability."
"What are the shift timings for night security?","Night duty runs from **8:00 PM to 6:00 AM**. Guards report by 7:45 PM, attend roll call at 7:50 PM, and complete final patrol by 6:00 AM before shift handover."
"Which areas are monitored during night patrols?","Key areas include:
 • Main and Exit Gates (only one active after 10 PM)
 • Tower lobbies and doors (locked by default)
 • Basements and parking lots
 • Perimeter walls and compound areas
 • Clubhouse, pool, gym (via CCTV)
 • STP, DG, and pump rooms
 • Security cabins and CCTV room."
"How often should security guards patrol during the night?","Hourly patrols are mandatory across designated checkpoints, recorded via RFID system or signed patrol sheets verified by the supervisor. Missed patrols are considered serious lapses."
"What must guards check during patrols?","• Verify that gates and doors are locked.
 • Observe for suspicious activity or sound.
 • Ensure lights and CCTV are operational.
 • Check parked vehicles and fire exits.
 • Report unusual movements immediately."
"How are CCTV and lighting systems maintained during the night?","Night supervisors must verify camera feeds and lighting every 2 hours. Any fault must be logged and reported to the Facility Manager, who follows up by 10:00 AM the next morning."
"What is the access control protocol after 10 PM?","• All visitor and vendor entries close after 10 PM.
 • Only emergency visitors are allowed after verification.
 • Lobby doors remain locked and opened only after resident approval.
 • Delivery personnel are strictly not allowed post 10 PM."
"What are the immediate actions in case of emergencies?","Emergency Response Protocol:
 • **Medical Emergency:** Allow ambulance, inform Facility Manager and Secretary.
 • **Fire/Smoke:** Trigger alarm, inform FM and Fire Dept.
 • **Theft/Suspicious Activity:** Secure site, preserve CCTV footage.
 • **Electrical/Water Failure:** Record and inform UPS standby staff.
 • **Accidents:** Secure area and call ambulance."
"What reporting must be done after every night shift?","The Night Supervisor must submit a **Night Security Log Report** by 6:15 AM covering patrol timings, incidents, lighting/CCTV issues, and any late entries. This report is reviewed by the Facility Manager and Secretary."
"What are the key Do’s for night security personnel?","✅ Do’s:
 • Conduct hourly patrols and log time.
 • Keep intercom and radios functional.
 • Lock unused gates and doors after 10 PM.
 • Check all parking and perimeter lights.
 • Stay alert, professional, and visible.
 • Immediately report any incident."
"What are the important Don’ts during night security duty?","🚫 Don’ts:
 • Don’t sleep or use phones on duty.
 • Don’t leave the post unattended.
 • Don’t allow unauthorized entry.
 • Don’t switch off lights or CCTV.
 • Don’t take food or gifts from outsiders.
 • Don’t skip patrol checkpoints."
"How are security incidents escalated?","Escalation Process:
 • Security breach – Supervisor → FM → President
 • Fire/electrical hazard – FM → Secretary → Fire Dept
 • CCTV/light failure – Supervisor → FM
 • Guard absence – FM → Secretary
 • Theft or major issue – FM → Secretary → Police."
"What equipment must guards carry during night duty?","Each night guard must have a flashlight, whistle, walkie-talkie, reflective jacket, ID card, and emergency contact sheet. Supervisors additionally hold master keys and gate control."
"How are night security operations audited?","Facility Manager conducts weekly surprise inspections and monthly reviews to assess guard performance, incident logs, CCTV uptime, and lighting. Repeated lapses attract penalties or vendor reviews."
"What records are maintained for night security operations?","Registers include patrol logs, CCTV check logs, lighting fault logs, incident registers, and daily security reports. All records are stored for at least 1 year."
"Who is accountable for night security compliance?","• **Night Guards:** Patrol and vigilance.
 • **Supervisor:** Oversight and reporting.
 • **Facility Manager:** Audit and follow-up.
 • **Secretary:** Review compliance.
 • **President/Board:** Handle escalations and vendor accountability."
"What is the purpose of the Pest Control SOP?","The SOP ensures a systematic, safe, and environmentally responsible pest management program for The ACE Apartments. It aims to minimize risks of infestation, disease, and property damage through scheduled preventive pest control and timely corrective actions."
"Who does this SOP apply to?","It applies to the UPS Facility Management team, authorized pest control vendors, residents, and the Association Office. The SOP covers all common areas including basements, lobbies, corridors, gardens, clubhouses, and utility zones."
"What are the objectives of the pest control plan?","• Maintain hygiene and reduce disease risks.
 • Prevent pest breeding in drains and garbage rooms.
 • Protect property from termite and rodent damage.
 • Comply with public health and environmental standards."
"Who is responsible for pest control management?","• **Facility Manager** – Schedules, supervises, and maintains vendor reports.
 • **Housekeeping Supervisor** – Prepares areas and informs residents.
 • **Vendor** – Conducts pest treatment using approved chemicals.
 • **Residents** – Cooperate during treatment and follow safety advisories.
 • **Secretary** – Approves schedules and verifies reports."
"What is the pest control treatment schedule?","• **Basements, Parking, Drains:** Anti-rodent + Larvicide – Monthly
 • **Garbage Rooms:** Insecticide + Sanitization – Bi-weekly
 • **STP/WTP/Pump Rooms:** Larvicide + Rodent Bait – Monthly
 • **Corridors & Lobbies:** Anti-cockroach & Ant Gel – Monthly
 • **Clubhouse & Gym:** Disinfectant + Pest Spray – Monthly
 • **Garden Areas:** Mosquito Fogging + Anti-termite – Fortnightly
 • **Common Toilets:** Anti-fly Spray – Weekly
 • **Underground Sumps:** Chlorination + Pest Check – Quarterly
 • **Individual Apartments:** Optional, paid service."
"How are residents notified before pest control?","The Facility Manager issues a Pest Control Notice at least **48 hours in advance** via MyGate and notice boards, mentioning the date, time, and areas to be treated."
"What precautions must be taken before treatment?","• Clear garbage and remove floor mats.
 • Cover food, utensils, and personal items.
 • Keep children and pets away from treated areas.
 • Allow ventilation after treatment.
 • Security will restrict access to treated zones."
"What chemicals are used for pest control?","Only **government-approved, non-toxic, and biodegradable chemicals** that comply with WHO and ISO standards are used. Material Safety Data Sheets (MSDS) are stored in the Facility Office."
"What safety measures must vendors follow?","• Wear protective gear – gloves, masks, and goggles.
 • Avoid overuse of chemicals.
 • No spraying near food areas or electrical points.
 • Avoid treatments during rain or heavy wind."
"What is the procedure for emergency or infestation treatment?","For heavy infestations (rodents, termites, flies):
 • Facility Manager and Vendor inspect within 24 hours.
 • Emergency treatment scheduled immediately.
 • Follow-up inspection within 72 hours.
 • Residents can report issues via MyGate Helpdesk."
"How is pest control documented and reported?","Each treatment is recorded in the **Pest Control Log Register**, capturing date, area, pest type, chemical used, vendor signature, and FM verification. Vendor reports and MSDS are stored for at least one year."
"What is the escalation process for pest control issues?","• **Missed Schedule:** Housekeeping → FM → Secretary
 • **Recurring Infestation:** FM → Vendor + Secretary → President
 • **Unsafe Chemical Usage:** Vendor → FM → President
 • **Vendor Performance Issue:** FM → Secretary → Board."
"What are the Do’s for pest control and prevention?","✅ Do’s:
 • Schedule treatments on time.
 • Display warning boards.
 • Ensure PPE usage.
 • Maintain ventilation.
 • Record treatment details.
 • Conduct pre/post inspections.
 • Dispose waste properly.
 • Inform residents in advance.
 • Store MSDS copies."
"What are the Don’ts during pest control?","🚫 Don’ts:
 • Don’t use expired or unapproved chemicals.
 • Don’t spray inside flats without consent.
 • Don’t eat, smoke, or drink during treatment.
 • Don’t leave leftover chemicals unattended.
 • Don’t skip logbook entries."
"What performance reviews are done for pest control vendors?","Quarterly evaluations based on timeliness, safety, documentation, and resident feedback are conducted by the Facility Manager and Secretary. Poor performance may lead to penalties or replacement."
"How long are pest control records kept?","• Pest Control Log Register – 2 years
 • Vendor Reports & MSDS – 1 year
 • Audit Summaries – Permanent"
"Who is accountable for pest control compliance?","• **Vendor** – Execution and safety
 • **Facility Manager** – Supervision and reporting
 • **Housekeeping Supervisor** – Preparation and safety
 • **Secretary** – Audit approval
 • **President/Board** – Oversight and escalation."
"What is the purpose of the Power Failure & DG Backup SOP?","This SOP ensures a safe, efficient, and structured process for handling power outages, DG backup operation, and power restoration at The ACE Apartments, minimizing disruption and protecting residents and electrical infrastructure."
"Who does this SOP apply to?","It applies to UPS Facility Management (FM) and Electrical Maintenance teams, Security personnel, and residents for awareness and coordination during outages."
"What are the main objectives of this SOP?","• Enable quick transition to DG backup during power failure.
 • Maintain essential systems like lifts, water pumps, and fire safety.
 • Prevent overloading or DG malfunction.
 • Ensure proper communication and escalation.
 • Maintain compliance with PCB and CEA standards."
"Who is responsible for DG backup management?","• **UPS Facility Manager** – Oversee DG operation, maintenance, and vendor coordination.
 • **Electrical Technician** – Operate and monitor DG, record events.
 • **Security Team** – Communicate outages and control access.
 • **Residents** – Use DG power responsibly.
 • **Secretary/President** – Review compliance and approve maintenance."
"What equipment is used for DG backup?","The site is equipped with:
 • 250 KVA DG (Utility Yard) for common areas.
 • 200 KVA DG (Basement 2) for essential residential load.
 • AMF Panel for automatic switching.
 • LT Panel for distribution.
 • Diesel tank (1000L) for fuel storage.
 • UPS/Inverters for critical systems like Fire & Security."
"What happens when there’s a power failure?","1️⃣ AMF Panel detects the outage and auto-starts the DG within 30 seconds.
 2️⃣ Security informs Facility Office immediately.
 3️⃣ Technician verifies DG operation and load transfer.
 4️⃣ Security notifies residents via MyGate: “Power outage detected. DG backup active. Please use power judiciously.”"
"Which systems are powered during DG mode?","DG power is prioritized as follows:
 • **Critical:** Fire pumps, lifts (1 per tower), sump pumps, security systems.
 • **Essential:** Corridor lighting, STP/WTP, exhaust fans.
 • **Restricted:** Lights and fans in residential units (no heavy appliances).
 • **Non-Essential:** Pool, lawn lights, and clubhouse AC remain off."
"How long can the DG backup run continuously?","DG sets should not run beyond 6 hours continuously without supervision or cooling checks. Refueling or rest periods may be required during prolonged outages."
"How is DG fuel managed?","• Diesel quality: BS-VI grade, from authorized supplier.
 • Refill every 15 days or when fuel < 30%.
 • Daily log of fuel usage maintained by technician.
 • Fire safety and no-smoking policy enforced in DG area."
"What preventive maintenance is done on DG systems?","• Weekly 15-min test run (no-load).
 • Monthly full-load test.
 • Weekly oil and coolant checks.
 • Monthly filter cleaning and battery test.
 • Quarterly emission test and AMC service.
 • Annual PCB certification."
